Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W03	3277.5745	3191.1745	12	0.6121	1	6.4336	0.1043	0	0.1833
W03	3278.5745	3192.1745	12	0.6209	1	6.3471	0.1014	0	0.1675
W03	3279.5745	3193.1745		0.6209	1	6.3471	0.1014	0	0.1675
W03	3280.5745	3194.1745	12	0.6209	1	6.3471	0.1014	0	0.1675
W03	3281.5745	3195.1745	12	0.6209	1	6.3471	0.1014	0	0.1675
W03	3282.5745	3196.1745		0.6209	1	6.3471	0.1014	0	0.1675
W03	3283.5745	3197.1745	12	0.6569	1	6.0054	0.1047	0	0.1856
W03	3284.5745	3198.1745	12	0.6569	1	6.0054	0.1047	0	0.1856
W03	3285.5745	3199.1745	12	0.6569	1	6.0054	0.1047	0	0.1856
W03	3286.5745	3200.1745	12	0.6569	1	6.0054	0.1047	0	0.1856
W03	3287.5745	3201.1745	12	0.6569	1	6.0054	0.1047	0	
W03	3288.5745	3202.1745	12	0.6591	1	5.9847	0.103	0	0.1758
W03	3289.5745	3203.1745	12	0.6591	1	5.9847	0.103	0	0.1758
W03	3290.5745	3204.1745	12	0.6591	1	5.9847	0.103	0	0.1758
W03	3291.5745	3205.1745	12	0.6591	1	5.9847	0.103	0	0.1758
W03	3292.5745	3206.1745	12	0.6591	1	5.9847	0.103	0	0.1758
W03	3293.5745	3207.1745	12	0.6663	1	5.9191	0.103	0	0.1758
W03	3294.5745	3208.1745	12	0.6663	1	5.9191	0.103	0	0.1758
W03	3295.5745	3209.1745	12	0.6663	1	5.9191	0.103	0	0.1758
W03	3296.5745	3210.1745	12	0.6663	1	5.9191	0.103	0	0.1758
W03	3297.5745	3211.1745	12	0.6663	1	5.9191	0.103	0	0.1758
W03	3298.5745	3212.1745	12	0.6181	1	6.3745	0.0967	0	0.1435
W03	3299.5745	3213.1745	12	0.6181	1	6.3745	0.0967	0	0.1435
W03	3300.5745	3214.1745	12		1	6.3745	0.0967	0	0.1435
W03	3301.5745	3215.1745	12	0.6181	1	6.3745	0.0967	0	0.1435
W03	3302.5745	3216.1745		0.6181	1	6.3745	0.0967	0	0.1435
W03	3303.5745	3217.1745	12	0.4943	1	7.7106	0.1369	0	0.4409
W03	3304.5745	3218.1745	12	0.4943	1	7.7106	0.1369	0	0.4409
W03	3305.5745	3219.1745	12		1	7.7106	0.1369	0	0.4409
W03	3306.5745	3220.1745	12	0.4943	1	7.7106	0.1369	0	0.4409
W03	3307.5745	3221.1745	12	0.4943		7.7106	0.1369	0	0.4409
W03	3308.5745	3222.1745	12	0.5686	1	6.8781	0.1164	0	0.2612
W03	3309.5745	3223.1745	12	0.5686	1	6.8781	0.1164	0	0.2612
W03	3310.5745	3224.1745	12	0.5686		6.8781	0.1164	0	0.2612
W03	3311.5745	3225.1745	12	0.5686	1	6.8781	0.1164	0	0.2612
W03	3312.5745	3226.1745	12	0.5686	1		0.1164	0	0.2612
W03	3313.5745	3227.1745	12	0.7114	1	5.5225	0.0906	0	0.1161
W03	3314.5745	3228.1745	12	0.7114	1	5.5225	0.0906	0	0.1161
W03	3315.5745	3229.1745	12		1	5.5225	0.0906	0	0.1161
W03	3316.5745	3230.1745	12	0.7114	1	5.5225	0.0906	0	0.1161
W03	3317.5745	3231.1745	12	0.7114	1	5.5225	0.0906	0	0.1161
W03	3318.5745	3232.1745		0.7028	1	5.5962	0.0957	0	0.139
W03	3319.5745	3233.1745	12	0.7028	1	5.5962	0.0957	0	0.139
W03	3320.5745	3234.1745	12	0.7028	1	5.5962	0.0957	0	0.139
W03	3321.5745	3235.1745	12	0.7028	1	5.5962	0.0957	0	0.139
W03	3322.5745	3236.1745	12	0.7028	1	5.5962	0.0957	0	0.139
W03	3323.5745	3237.1745	12	0.6488	1	6.0803	0.087	0	0.1022
W03	3324.5745	3238.1745	12	0.6488	1	6.0803	0.087	0	
W03	3325.5745	3239.1745	12	0.6488	1	6.0803	0.087	0	0.1022
W03	3326.5745	3240.1745	12	0.6488	1	6.0803	0.087	0	0.1022
W03	3327.5745	3241.1745	12	0.6488	1	6.0803	0.087	0	0.1022
W03	3328.5745	3242.1745	12	0.629	1	6.2684	0.1019	0	0.1701
W03	3329.5745	3243.1745	12	0.629	1	6.2684	0.1019	0	
W03	3330.5745	3244.1745	12	0.629		6.2684	0.1019	0	0.1701
W03	3331.5745	3245.1745	12	0.629	1	6.2684	0.1019	0	0.1701
W03	3332.5745	3246.1745	12	0.629	1	6.2684	0.1019	0	0.1701
W03	3333.5745	3247.1745	12	0.6127		6.4274	0.1233	0	0.3145
W03	3334.5745	3248.1745	12	0.6127	1	6.4274	0.1233	0	0.3145
W03	3335.5745	3249.1745	12	0.6127	1	6.4274	0.1233	0	0.3145
W03	3336.5745	3250.1745	12	0.6127	1	6.4274	0.1233	0	0.3145
W03	3337.5745	3251.1745	12	0.6127	1	6.4274	0.1233	0	0.3145
